"","State","DrugUse","BingeDrink","Poverty","HSdrop","Income"
"Alabama","Alabama",3.3,15.6,14.5,12.6,22946
"Alaska","Alaska",8.5,19.8,9.4,10.9,28523
"Arizona","Arizona",5.4,17.4,16.6,14.4,25307
"Arkansas","Arkansas",2.8,16.8,14.8,11.4,22114
"California","California",6.2,16.7,15.4,14.2,29819
"Colorado","Colorado",6.5,19.8,9.2,9.8,31678
"Connecticut","Connecticut",5.5,18.4,9.5,9,39167
"Delaware","Delaware",4.6,21.2,10.3,10.4,30685
"District of Columbia","District of Columbia",5.5,16.3,22.3,13.9,38228
"Florida","Florida",5.2,16.4,13.1,14.3,28023
"Georgia","Georgia",3.6,17,13.6,14.1,27198
"Hawaii","Hawaii",5.4,19.9,10.9,7.5,27842
"Idaho","Idaho",4.3,17.9,13,10.4,23445
"Illinois","Illinois",4.2,19.9,10.1,10.6,31278
"Indiana","Indiana",4.9,18.1,9.4,11.4,26092
"Iowa","Iowa",3.7,21.7,9.1,6.6,25727
"Kansas","Kansas",3.8,20.1,9.6,8.7,26633
"Kentucky","Kentucky",3.8,16.5,13.5,13.3,23161
"Louisiana","Louisiana",3.2,19.6,19.1,12.5,22792
"Maine","Maine",3.9,18.1,10.4,8.3,24960
"Maryland","Maryland",3.3,13.9,7.2,10.9,32166
"Massachusetts","Massachusetts",6.9,21.9,8.7,8.5,35733
"Michigan","Michigan",5.6,20.1,11,10,27844
"Minnesota","Minnesota",3.4,21.2,10.4,6.4,30622
"Mississippi","Mississippi",3.2,16.4,17.6,11.8,20506
"Missouri","Missouri",4.4,21.2,9.8,11.4,26187
"Montana","Montana",4.5,19.5,16.6,8.1,22314
"Nebraska","Nebraska",3.5,22.9,12.3,7,27437
"Nevada","Nevada",7.7,21.2,10.6,15.2,30351
"New Hampshire","New Hampshire",4,18.4,9.8,9.4,30905
"New Jersey","New Jersey",5.1,18.2,8.6,9.6,36106
"New Mexico","New Mexico",6.1,19.5,20.7,11.7,22063
"New York","New York",4.7,18.9,16.7,9.9,33946
"North Carolina","North Carolina",4.3,15.2,14,12.5,26220
"North Dakota","North Dakota",3,25.6,15.1,4.6,23518
"Ohio","Ohio",4.4,21,11.2,8.9,27081
"Oklahoma","Oklahoma",3.3,16,14.1,10.4,22801
"Oregon","Oregon",5.5,16.9,15,11.8,27135
"Pennsylvania","Pennsylvania",5.3,19.7,11.2,9.1,28676
"Rhode Island","Rhode Island",5.3,19.2,11.6,11.1,29720
"South Carolina","South Carolina",3.3,16.1,13.7,11.7,23496
"South Dakota","South Dakota",3.6,22.3,10.8,7.7,25107
"Tennessee","Tennessee",3.5,15.5,13.4,13.4,25581
"Texas","Texas",2.8,19.9,15.1,12.9,26525
"Utah","Utah",4.5,14.7,9,8.7,23356
"Vermont","Vermont",3.3,18.5,9.9,8,25892
"Virginia","Virginia",2.9,16.4,8.8,10,29484
"Washington","Washington",5.9,15.7,8.9,10.6,30295
"West Virginia","West Virginia",2.4,15.2,17.8,10.9,20888
"Wisconsin","Wisconsin",4.2,24,8.8,7.1,27412
"Wyoming","Wyoming",4.8,20.3,10.6,6.9,26003
